"","Var2","ABUNDANCE"
"1","B10",11
"2","B11",44
"3","B13",1
"4","B14",3
"5","B16",1
"6","B18",4
"7","B19",6
"8","B2",3
"9","B20",4
"10","B21",3
"11","B23",3
"12","B24",4
"13","B25",5
"14","B27",2
"15","B28",3
"16","B29",3
"17","B3",6
"18","B31",6
"19","B33",2
"20","B34",12
"21","B35",2
"22","B36",4
"23","B37",1
"24","B38",10
"25","B39",1
"26","B40",2
"27","B41",1
"28","B42",10
"29","B43",1
"30","B45",4
"31","B46",2
"32","B47",1
"33","B49",1
"34","B5",4
"35","B50",1
"36","B51",4
"37","B53",5
"38","B54",6
"39","B55",17
"40","B56",1
"41","B57",2
"42","B58",1
"43","B60",1
"44","B61",6
"45","B62",1
"46","B63",1
"47","B64",3
"48","B67",1
"49","B69",3
"50","B7",13
"51","B70",9
"52","B71",13
"53","B72",7
"54","B73",1
"55","B78",5
"56","B79",5
"57","B8",1
"58","B80",5
"59","B81",1
"60","B82",17
"61","B83",5
"62","B87",7
"63","B90",5
"64","B91",1
"65","C1",1
"66","C10",5
"67","C11",5
"68","C12",8
"69","C13",4
"70","C14",5
"71","C15",1
"72","C16",11
"73","C17",10
"74","C18",6
"75","C2",4
"76","C20",5
"77","C21",2
"78","C22",2
"79","C23",16
"80","C3",3
"81","C4",1
"82","C5",2
"83","C6",4
"84","C7",3
"85","C8",4
"86","C9",9
"87","CC2",4
"88","CC3",2
"89","CC4",2
"90","CC5",8
"91","CC6",5
"92","CC7",2
"93","CC8",6
"94","CO1",43
"95","CO2",14
"96","CP1",1
"97","CP2",3
"98","CSC1",8
"99","CSC2",1
"100","CSC3",5
"101","CSC4",3
"102","CSC5",2
"103","CSC7",1
"104","CSC8",2
"105","CSC9",3
"106","G5",3
"107","H1",8
"108","H2",5
"109","H3",10
"110","H4",7
"111","H5",5
"112","H6",8
"113","H7",3
"114","IG1",8
"115","IG2",5
"116","IG3",2
"117","IG4",5
"118","IG5",6
"119","IG7",3
"120","J1",2
"121","J10",1
"122","J11",4
"123","J12",1
"124","J14",1
"125","J17",5
"126","J19",4
"127","J2",4
"128","J20",6
"129","J3",5
"130","J6",2
"131","J7",3
"132","KP1",2
"133","KP10",27
"134","KP2",5
"135","KP4",2
"136","KP5",4
"137","KP6",4
"138","KP7",40
"139","KP8",9
"140","KP9",11
"141","KS1",4
"142","KS2",5
"143","LH10",4
"144","LH12",2
"145","LH2",7
"146","LH3",7
"147","LH4",2
"148","LH7",2
"149","LH8",5
"150","LO1",3
"151","LO10",4
"152","LO100",3
"153","LO102",18
"154","LO103",2
"155","LO104",1
"156","LO105",1
"157","LO108",2
"158","LO109",3
"159","LO11",4
"160","LO111",1
"161","LO112",3
"162","LO115",2
"163","LO116",3
"164","LO119",8
"165","LO12",3
"166","LO123",3
"167","LO125",2
"168","LO126",1
"169","LO128",2
"170","LO13",4
"171","LO130",2
"172","LO131",2
"173","LO132",4
"174","LO133",5
"175","LO134",1
"176","LO135",2
"177","LO139",1
"178","LO14",3
"179","LO140",1
"180","LO142",2
"181","LO143",1
"182","LO146",1
"183","LO149",2
"184","LO15",2
"185","LO152",6
"186","LO153",4
"187","LO154",4
"188","LO155",3
"189","LO156",9
"190","LO158",2
"191","LO161",2
"192","LO162",5
"193","LO163",4
"194","LO167",1
"195","LO17",1
"196","LO171",4
"197","LO18",1
"198","LO19",4
"199","LO2",5
"200","LO22",4
"201","LO24",3
"202","LO25",4
"203","LO26",3
"204","LO28",1
"205","LO29",2
"206","LO3",5
"207","LO30",3
"208","LO32",2
"209","LO33",2
"210","LO34",3
"211","LO35",1
"212","LO36",4
"213","LO37",3
"214","LO38",2
"215","LO39",1
"216","LO4",3
"217","LO43",4
"218","LO44",3
"219","LO45",3
"220","LO48",2
"221","LO49",2
"222","LO5",1
"223","LO50",2
"224","LO54",4
"225","LO56",1
"226","LO58",4
"227","LO59",3
"228","LO6",2
"229","LO60",1
"230","LO63",5
"231","LO64",9
"232","LO65",6
"233","LO66",1
"234","LO67",3
"235","LO68",16
"236","LO7",1
"237","LO71",1
"238","LO72",1
"239","LO75",4
"240","LO76",1
"241","LO77",5
"242","LO80",9
"243","LO81",1
"244","LO83",1
"245","LO84",4
"246","LO85",4
"247","LO86",3
"248","LO89",4
"249","LO90",9
"250","LO91",4
"251","LO92",5
"252","LO93",1
"253","LO94",6
"254","LO95",3
"255","LO96",1
"256","LO97",1
"257","LO98",3
"258","LO99",4
"259","S1",18
"260","S10",13
"261","S100",16
"262","S101",18
"263","S102",10
"264","S103",20
"265","S104",11
"266","S105",25
"267","S106",19
"268","S107",7
"269","S108",14
"270","S109",15
"271","S11",16
"272","S12",8
"273","S13",14
"274","S14",16
"275","S15",13
"276","S16",13
"277","S17",11
"278","S18",15
"279","S19",13
"280","S2",17
"281","S20",15
"282","S21",26
"283","S22",7
"284","S23",10
"285","S24",19
"286","S25",13
"287","S26",18
"288","S27",14
"289","S28",15
"290","S29",15
"291","S3",21
"292","S30",19
"293","S31",20
"294","S32",21
"295","S33",20
"296","S34",9
"297","S35",18
"298","S36",14
"299","S37",15
"300","S38",6
"301","S39",15
"302","S4",13
"303","S40",12
"304","S41",18
"305","S42",16
"306","S43",18
"307","S44",23
"308","S45",16
"309","S46",22
"310","S47",20
"311","S48",22
"312","S49",12
"313","S5",21
"314","S50",9
"315","S51",21
"316","S52",17
"317","S53",11
"318","S54",14
"319","S55",18
"320","S56",14
"321","S57",17
"322","S58",9
"323","S59",12
"324","S6",1
"325","S60",8
"326","S61",16
"327","S62",13
"328","S63",17
"329","S64",24
"330","S65",17
"331","S66",9
"332","S67",15
"333","S68",17
"334","S69",17
"335","S7",11
"336","S70",19
"337","S71",20
"338","S72",13
"339","S73",19
"340","S74",17
"341","S75",17
"342","S76",13
"343","S77",21
"344","S78",15
"345","S79",28
"346","S8",11
"347","S80",24
"348","S81",7
"349","S82",19
"350","S83",13
"351","S84",25
"352","S85",12
"353","S86",12
"354","S87",8
"355","S88",16
"356","S89",16
"357","S9",11
"358","S90",10
"359","S91",12
"360","S92",15
"361","S93",11
"362","S94",18
"363","S95",10
"364","S96",16
"365","S97",10
"366","S98",19
"367","S99",12
"368","SM1",6
"369","SM10",5
"370","SM11",10
"371","SM13",4
"372","SM15",7
"373","SM16",4
"374","SM18",1
"375","SM19",5
"376","SM2",1
"377","SM20",3
"378","SM4",9
"379","SM5",3
"380","SM6",3
"381","SM8",2
"382","SM9",2
"383","SMC1",3
"384","SMC10",5
"385","SMC11",3
"386","SMC2",5
"387","SMC3",5
"388","SMC4",1
"389","SMC5",13
"390","SMC7",3
"391","SMC8",3
"392","SMC9",1
"393","SP1",3
"394","SP10",2
"395","SP11",8
"396","SP12",7
"397","SP13",2
"398","SP14",2
"399","SP16",3
"400","SP2",11
"401","SP3",1
"402","SP4",1
"403","SP5",5
"404","SP6",1
"405","SP7",2
"406","SP8",13
"407","SP9",2
"408","ST1",7
"409","ST2",6
"410","ST3",9
"411","ST4",7
"412","ST5",6
"413","ST6",7
"414","ST7",1
"415","ST9",6
"416","STL1",3
"417","STL10",3
"418","STL11",3
"419","STL12",1
"420","STL13",11
"421","STL14",3
"422","STL2",3
"423","STL4",16
"424","STL5",3
"425","STL6",9
"426","STL7",4
"427","STL8",3
"428","STL9",4
"429","T1",3
"430","T10",1
"431","T103",3
"432","T104",1
"433","T107",4
"434","T110",5
"435","T111",2
"436","T112",1
"437","T113",3
"438","T114",2
"439","T115",5
"440","T116",1
"441","T118",3
"442","T14",1
"443","T16",3
"444","T18",1
"445","T21",2
"446","T22",4
"447","T23",2
"448","T24",4
"449","T26",3
"450","T28",4
"451","T3",3
"452","T30",2
"453","T31",3
"454","T32",2
"455","T33",3
"456","T34",3
"457","T35",4
"458","T36",1
"459","T38",4
"460","T39",2
"461","T4",4
"462","T40",4
"463","T41",2
"464","T42",1
"465","T43",3
"466","T44",1
"467","T45",5
"468","T46",2
"469","T47",1
"470","T48",5
"471","T49",3
"472","T5",4
"473","T50",4
"474","T51",3
"475","T53",1
"476","T54",1
"477","T56",2
"478","T57",4
"479","T59",2
"480","T60",2
"481","T63",3
"482","T64",4
"483","T65",1
"484","T66",2
"485","T67",2
"486","T68",1
"487","T69",1
"488","T7",4
"489","T70",7
"490","T72",2
"491","T73",5
"492","T74",3
"493","T76",4
"494","T77",4
"495","T78",3
"496","T79",2
"497","T81",2
"498","T82",2
"499","T85",2
"500","T86",7
"501","T87",4
"502","T88",3
"503","T91",2
"504","T92",2
"505","T94",5
"506","T95",3
"507","T97",2
"508","T98",4
"509","T99",6
"510","W10",7
"511","W11",3
"512","W12",3
"513","W13",5
"514","W14",6
"515","W15",2
"516","W16",4
"517","W17",5
"518","W18",4
"519","W19",2
"520","W2",4
"521","W20",2
"522","W21",6
"523","W22",8
"524","W23",1
"525","W24",6
"526","W25",3
"527","W27",4
"528","W28",5
"529","W29",4
"530","W3",1
"531","W30",1
"532","W31",2
"533","W32",5
"534","W33",3
"535","W5",2
"536","W6",3
"537","W8",4
"538","W9",3
"539","WI1",2
"540","WI3",3
"541","WI8",3
"542","Y1",23
"543","Y10",4
"544","Y11",10
"545","Y12",10
"546","Y13",12
"547","Y14",1
"548","Y15",7
"549","Y16",4
"550","Y17",9
"551","Y18",3
"552","Y19",5
"553","Y2",4
"554","Y20",5
"555","Y21",2
"556","Y22",3
"557","Y23",5
"558","Y24",22
"559","Y25",3
"560","Y26",2
"561","Y27",5
"562","Y28",8
"563","Y29",9
"564","Y3",4
"565","Y30",1
"566","Y31",6
"567","Y32",7
"568","Y33",12
"569","Y34",3
"570","Y35",5
"571","Y36",4
"572","Y37",2
"573","Y4",4
"574","Y40",30
"575","Y42",2
"576","Y43",3
"577","Y44",3
"578","Y45",4
"579","Y46",42
"580","Y47",13
"581","Y48",7
"582","Y49",1
"583","Y5",9
"584","Y50",8
"585","Y51",7
"586","Y52",2
"587","Y53",2
"588","Y54",21
"589","Y55",7
"590","Y56",3
"591","Y57",3
"592","Y58",4
"593","Y59",1
"594","Y6",10
"595","Y60",14
"596","Y61",12
"597","Y62",17
"598","Y63",6
"599","Y64",4
"600","Y65",16
"601","Y66",11
"602","Y67",9
"603","Y68",2
"604","Y69",11
"605","Y70",2
"606","Y71",23
"607","Y72",3
"608","Y73",11
"609","Y74",29
"610","Y75",6
"611","Y76",7
"612","Y77",2
"613","Y78",6
"614","Y79",3
"615","Y8",6
"616","Y80",11
"617","Y81",28
"618","Y82",15
"619","Y83",47
"620","Y84",8
"621","Y85",8
"622","Y86",5
"623","Y87",1
"624","Y88",14
"625","Y89",4
"626","Y9",3
"627","Y90",2
"628","Y91",39
"629","Y92",4
"630","Y93",4
"631","YW1",6
"632","YW2",5
"633","YW3",3
"634","YW4",11
"635","YW5",3
"636","YW6",7
"637","YW7",4
"638","YW8",8
