"Street_Code","Length (m)","Area (m2)","Area (ha)","Index"
"S1","250.959","376.4385","0.03764385","1"
"S10","277.863","416.7945","0.04167945","10"
"S100","293.903","440.8545","0.04408545","100"
"S101","289.19","433.785","0.0433785","101"
"S102","193.421","290.1315","0.02901315","102"
"S103","294.793","442.1895","0.04421895","103"
"S104","195.077","292.6155","0.02926155","104"
"S105","295.792","443.688","0.0443688","105"
"S106","245.352","368.028","0.0368028","106"
"S107","249.022","373.533","0.0373533","107"
"S108","247.511","371.2665","0.03712665","108"
"S109","271.033","406.5495","0.04065495","109"
"S11","302.745","454.1175","0.04541175","11"
"S12","250.393","375.5895","0.03755895","12"
"S13","232.216","348.324","0.0348324","13"
"S14","216.614","324.921","0.0324921","14"
"S15","179.418","269.127","0.0269127","15"
"S16","240.326","360.489","0.0360489","16"
"S17","213.999","320.9985","0.03209985","17"
"S18","218.872","328.308","0.0328308","18"
"S19","254.69","382.035","0.0382035","19"
"S2","250.448","375.672","0.0375672","2"
"S20","301.149","451.7235","0.04517235","20"
"S21","250.866","376.299","0.0376299","21"
"S22","253.046","379.569","0.0379569","22"
"S23","246.221","369.3315","0.03693315","23"
"S24","309.527","464.2905","0.04642905","24"
"S25","248.006","372.009","0.0372009","25"
"S26","271.397","407.0955","0.04070955","26"
"S27","250.571","375.8565","0.03758565","27"
"S28","297.986","446.979","0.0446979","28"
"S29","266.004","399.006","0.0399006","29"
"S3","243.645","365.4675","0.03654675","3"
"S30","308.455","462.6825","0.04626825","30"
"S31","248.871","373.3065","0.03733065","31"
"S32","269.441","404.1615","0.04041615","32"
"S33","305.655","458.4825","0.04584825","33"
"S34","258.561","387.8415","0.03878415","34"
"S35","291","436.5","0.04365","35"
"S36","212.556","318.834","0.0318834","36"
"S37","309.036","463.554","0.0463554","37"
"S38","246.099","369.1485","0.03691485","38"
"S39","292.694","439.041","0.0439041","39"
"S4","294.278","441.417","0.0441417","4"
"S40","307.789","461.6835","0.04616835","40"
"S41","246.082","369.123","0.0369123","41"
"S42","293.44","440.16","0.044016","42"
"S43","255.679","383.5185","0.03835185","43"
"S44","306.342","459.513","0.0459513","44"
"S45","245.717","368.5755","0.03685755","45"
"S46","296.707","445.0605","0.04450605","46"
"S47","256.805","385.2075","0.03852075","47"
"S48","306.777","460.1655","0.04601655","48"
"S49","246.548","369.822","0.0369822","49"
"S5","360.995","541.4925","0.05414925","5"
"S50","295.844","443.766","0.0443766","50"
"S51","304.883","457.3245","0.04573245","51"
"S52","244.032","366.048","0.0366048","52"
"S53","295.885","443.8275","0.04438275","53"
"S54","267.054","400.581","0.0400581","54"
"S55","303.848","455.772","0.0455772","55"
"S56","242.534","363.801","0.0363801","56"
"S57","296.227","444.3405","0.04443405","57"
"S58","295.961","443.9415","0.04439415","58"
"S59","291.34","437.01","0.043701","59"
"S6","298.403","447.6045","0.04476045","6"
"S60","295.846","443.769","0.0443769","60"
"S61","194.157","291.2355","0.02912355","61"
"S62","187.48","281.22","0.028122","62"
"S63","249.591","374.3865","0.03743865","63"
"S64","301.766","452.649","0.0452649","64"
"S65","248.967","373.4505","0.03734505","65"
"S66","172.109","258.1635","0.02581635","66"
"S67","272.18","408.27","0.040827","67"
"S68","308.43","462.645","0.0462645","68"
"S69","246.169","369.2535","0.03692535","69"
"S7","287.932","431.898","0.0431898","7"
"S70","271.569","407.3535","0.04073535","70"
"S71","306.909","460.3635","0.04603635","71"
"S72","250.264","375.396","0.0375396","72"
"S73","263.093","394.6395","0.03946395","73"
"S74","311.395","467.0925","0.04670925","74"
"S75","247.536","371.304","0.0371304","75"
"S76","216.211","324.3165","0.03243165","76"
"S77","307.713","461.5695","0.04615695","77"
"S78","247.807","371.7105","0.03717105","78"
"S79","342.082","513.123","0.0513123","79"
"S8","289.708","434.562","0.0434562","8"
"S80","356.316","534.474","0.0534474","80"
"S81","235.113","352.6695","0.03526695","81"
"S82","315.155","472.7325","0.04727325","82"
"S83","234.611","351.9165","0.03519165","83"
"S84","310.213","465.3195","0.04653195","84"
"S85","208.149","312.2235","0.03122235","85"
"S86","306.03","459.045","0.0459045","86"
"S87","297.132","445.698","0.0445698","87"
"S88","269.603","404.4045","0.04044045","88"
"S89","220.065","330.0975","0.03300975","89"
"S9","277.666","416.499","0.0416499","9"
"S90","239.858","359.787","0.0359787","90"
"S91","299.8","449.7","0.04497","91"
"S92","274.192","411.288","0.0411288","92"
"S93","216.903","325.3545","0.03253545","93"
"S94","309.672","464.508","0.0464508","94"
"S95","240.412","360.618","0.0360618","95"
"S96","193.884","290.826","0.0290826","96"
"S97","209.05","313.575","0.0313575","97"
"S98","293.292","439.938","0.0439938","98"
"S99","167.135","250.7025","0.02507025","99"
"","","","4.3486137",""
